cols,length,name,comment
1-8,6,FILLER,"Filler Blank"
9-12,4,DOB_YY,"Birth Year 2018 Year of birth"
13-14,2,DOB_MM,"Birth Month "
15-18,4,FILLER,"Filler Blank"
19-22,4,DOB_TT,"Time of Birth 0000-2359 Time of Birth 9999 Not Stated"
23,1,DOB_WK,"Birth Day of Week"
24-31,8,FILLER,"Filler Blank "
32,1,BFACIL,"Birth Place 1 Hospital 2 Freestanding Birth Center 3 Home (intended) 4 Home (not intended) 5 Home (unknown if intended) 6 Clinic / Doctor’s Office 7 Other 9 Unknown"
33,1,F_FACILITY,"Reporting Flag for Birth Place 0 1 Non-Reporting Reporting"
34-49,16,FILLER,"Filler Blank"
50,1,BFACIL3,"Facility Recode 1 In Hospital 2 Not in Hospital 3 Unknown or Not Stated"
51-72,22,FILLER_B,"Filler Blank"
73,1,MAGE_IMPFLG,"Mother’s Age Imputed Blank Age not imputed Due to missing data, age imputed.  1 Age imputed"
74,1,MAGE_REPFLG,"Reported Age of Mother Used Flag Blank Reported age not used Due to missing date of birth, reported age used.  1 Reported age used"
75-76,2,MAGER,"Mother’s Single Years of Age "
77-78,2,MAGER14,"Mother’s Age Recode 14"
79,1,MAGER9,"Mother’s Age Recode 9"
80-83,4,FILLER,"Filler Blank"
84,1,MBSTATE_REC,"Mother’s Nativity 1 2 3 Born in the U.S. (50 US States) Born outside the U.S. (includes possessions) Unknown or Not Stated"
85-103,19,FILLER,"Filler Blank"
104,1,RESTATUS,"Residence Status United States 1 RESIDENT: State and county of occurrence and residence are the same.  2 INTRASTATE NONRESIDENT: State of occurrence and residence are the same but county is different.  3 INTERSTATE NONRESIDENT: State of occurrence and residence are different but both are one of the 50 US states or District of Columbia.  4 FOREIGN RESIDENT: The state of residence is not one of the 50 US states or District of Columbia."
105-106,2,MRACE31,"Mother’s Race Recode 31 United States and all Outlying Areas of 01 White (only) [only one race reported] the United States except Puerto Rico 02 Black (only) 03 AIAN (American Indian or Alaskan Native) (only) 04 Asian (only) 05 NHOPI (Native Hawaiian or Other Pacific Islander) (only) 06 Black and White 07 Black and AIAN 08 Black and Asian 09 Black and NHOPI 10 AIAN and White 11 AIAN and Asian 12 AIAN and NHOPI 13 Asian and White 14 Asian and NHOPI 15 NHOPI and White 16 Black, AIAN, and White 17 Black, AIAN, and Asian 18 Black, AIAN, and NHOPI 19 Black, Asian, and White 20 Black, Asian, and NHOPI 21 Black, NHOPI, and White 22 AIAN, Asian, and White 23 AIAN, NHOPI, and White 24 AIAN, Asian, and NHOPI 25 Asian, NHOPI, and White 26 Black, AIAN, Asian, and White 27 Black, AIAN, Asian, and NHOPI 28 Black, AIAN, NHOPI, and White 29 Black, Asian, NHOPI, and White 30 AIAN, Asian, NHOPI, and White"
107,2,MRACE6,"Mother’s Race Recode 6 United States and all Outlying Areas of the United States except Puerto Rico 1 2 3 4 5 6 White (only) Black (only) AIAN (only) Asian (only) NHOPI (only) More than one race"
108-109,2,MRACE15,"Mother’s Race Recode 15 United States and all Outlying Areas of the United States except Puerto Rico White (only) Black (only) AIAN (only) Asian Indian (only) Chinese (only) Filipino (only) Japanese (only) Korean (only) Vietnamese (only) Other Asian (only) Hawaiian (only) Guamanian (only) Samoan (only) Other Pacific Islander (only) More than one race"
110,1,MBRACE,"Bridged Race Mother Includes individuals reporting only one race and individuals reporting more than one race bridged to a single race.  United States and all Outlying Areas of the United States except Puerto Rico 1 2 3 White Black American Indian or Alaskan Native 4 Asian or Pacific Islander Puerto Rico 1 White 2 Black 0 Other (not classified as White or Black) 111 1 MRACEIMP Mother’s Race Imputed Flag Blank 1 2 Mother’s race not imputed Unknown race imputed All other races, formerly coded 09, imputed."
112,1,MHISPX,"Mother’s Hispanic Origin 0 1 2 3 4 5 6 9 Non-Hispanic Mexican Puerto Rican Cuban Central or South American Dominican Other and Unknown Hispanic Origin unknown or not stated"
113-114,2,FILLER,"Filler Blank"
115,1,MHISP_R,"Mother’s Hispanic Origin Recode 0 1 2 3 4 5 9 Non-Hispanic Mexican Puerto Rican Cuban Central and South American Other and Unknown Hispanic origin Hispanic origin not stated "
116,1,F_MHISP,"Reporting Flag for Mother’s Origin 0 1 Non-Reporting Reporting "
117,1,MRACEHISP,"Mother’s Race/Hispanic Origin Based on single/multiple-race (fields 105-106, 107, and 108-109); for coding to create bridged-race categories (field 110) see “Coding for bridge-race and Hispanic origin categories” in the Detailed Technical Notes.  1 2 3 4 5 6 7 8 Non-Hispanic White (only) Non-Hispanic Black (only) Non-Hispanic AIAN (only) Non-Hispanic Asian (only) Non-Hispanic NHOPI (only) Non-Hispanic more than one race Hispanic Origin unknown or not stated"
118,1,FILLER,"Filler Blank"
119,1,MAR_P,"Paternity Acknowledged Y N U X Yes No Unknown Not Applicable"
120,1,DMAR,"Marital Status United States and all Outlying Areas of the United States except Puerto Rico 1 2 Married Unmarried Puerto Rico 1 2 3 9 Yes Unmarried parents living together Unmarried parents not living together Unknown or not stated"
